PING google.com (172.217.164.142) 56(84) bytes of data.
64 bytes from 172.217.164.142: icmp_seq=1 ttl=52 time=86.4 ms
64 bytes from 172.217.164.142: icmp_seq=2 ttl=52 time=178 ms
64 bytes from 172.217.164.142: icmp_seq=3 ttl=52 time=103 ms
64 bytes from 172.217.164.142: icmp_seq=4 ttl=52 time=52.0 ms
64 bytes from 172.217.164.142: icmp_seq=5 ttl=52 time=135 ms
64 bytes from 172.217.164.142: icmp_seq=6 ttl=52 time=158 ms
64 bytes from 172.217.164.142: icmp_seq=7 ttl=52 time=87.5 ms
64 bytes from 172.217.164.142: icmp_seq=8 ttl=52 time=87.3 ms
64 bytes from 172.217.164.142: icmp_seq=9 ttl=52 time=226 ms
64 bytes from 172.217.164.142: icmp_seq=10 ttl=52 time=89.7 ms
64 bytes from 172.217.164.142: icmp_seq=11 ttl=52 time=84.3 ms
64 bytes from 172.217.164.142: icmp_seq=12 ttl=52 time=55.1 ms
64 bytes from 172.217.164.142: icmp_seq=13 ttl=52 time=215 ms
64 bytes from 172.217.164.142: icmp_seq=14 ttl=52 time=135 ms
64 bytes from 172.217.164.142: icmp_seq=15 ttl=52 time=78.8 ms
64 bytes from 172.217.164.142: icmp_seq=16 ttl=52 time=77.7 ms
64 bytes from 172.217.164.142: icmp_seq=17 ttl=52 time=204 ms
64 bytes from 172.217.164.142: icmp_seq=18 ttl=52 time=124 ms
